lon,lat,depth,mag
142.945,40.974,54.2,4.9
142.945,40.116,27.0,6.0
142.756,39.464,35.0,4.8
143.304,39.598,27.7,4.8
142.435,41.262,56.5,4.6
142.469,41.211,54.1,5.6
142.051,40.801,57.2,5.4
143.265,39.72,36.2,4.7
143.098,39.813,41.6,4.6
143.021,39.904,42.2,4.6
142.346,41.292,52.0,5.0
143.023,40.926,35.0,5.1
141.749,38.806,94.3,4.5
142.618,41.198,45.7,4.7
143.626,39.807,10.0,5.0
143.676,40.585,31.8,4.5
142.174,41.024,66.8,4.6
140.04,36.174,62.9,4.8
142.516,41.149,60.7,4.6
142.982,40.844,35.0,4.6
143.001,40.944,38.9,4.7
142.937,40.997,32.6,5.3
142.877,40.948,35.0,4.6
142.813,40.89,19.0,6.7
142.812,41.126,29.0,5.0
142.632,41.272,43.1,4.8
143.057,40.856,42.8,4.5
142.672,40.902,33.0,5.7
142.4,41.219,50.8,4.5
143.602,39.351,10.0,4.7
142.668,41.015,51.6,4.5
142.392,41.273,53.8,4.6
142.758,40.988,49.3,4.5
142.961,41.173,43.5,4.5
142.286,41.313,60.1,5.0
142.834,41.336,52.9,4.6
142.145,41.21,54.9,4.9
142.759,40.826,47.8,5.6
143.017,41.117,49.6,5.0
143.15,40.976,19.0,6.6
143.22,40.997,48.9,4.6
143.214,40.902,31.3,5.1
143.123,40.988,22.8,6.0
143.09,41.027,44.9,4.8
143.063,40.944,39.1,5.0
142.477,40.889,35.0,5.5
142.184,40.998,40.7,7.6
143.329,39.546,31.7,4.9
142.591,42.06,57.7,4.6
141.895,38.197,54.9,4.6
143.599,39.527,10.0,4.5
144.291,42.454,81.3,5.0
142.206,36.241,10.0,4.7
143.5,39.684,11.0,5.5
143.448,39.216,10.0,5.0
142.74,40.851,44.2,4.9
142.446,39.167,42.8,4.5
143.217,39.764,17.6,5.2
143.511,39.675,10.0,4.5
143.225,39.713,29.6,4.7
142.103,37.311,31.7,4.6
143.531,39.308,10.0,5.2
143.262,39.601,31.6,4.5
141.704,36.082,28.0,4.7
143.31,39.491,10.0,4.6
143.561,39.734,10.0,4.9
143.224,39.8,35.0,5.3
143.187,39.6,36.5,4.5
143.653,39.34,10.0,4.5
